CustomerID|FirstName|LastName|AddressLine1|AddressLine2|City|State|ZipPostal|Country|Phone|Email
1|Stefanie|Buckley|36 West Fabien St.|NULL|St. Louis|UT|86036|TUN|404-9904812|ttss42@gmrzga.org
2|Sandy|Mc Gee|935 Nobel Way|89 Green Nobel Freeway|Fort Worth|NH|98849|CHE|6590516203|edhr.ynwidw@gdfifbqe.vjdpsp.org
3|Lee|Warren|91 Hague Parkway|NULL|Denver|WI|18483|GRC|892458-2226|ofxnfq077@bboygn.net
4|Regina|Forbes|50 Cowley Avenue|NULL|Norfolk|TN|07514|EGY|350-7139889|wdia.hjcfxtt@euamcb.org
5|Daniel|Kim|525 North Old Parkway|NULL|Miami|VA|09047|SOM|697-563-1683|writipq357@noeuxy.vtjmkj.org
6|Dennis|Nunez|48 Old Freeway|NULL|Columbus|SD|21100|MAR|7250266524|brwrwli9@tvkdwo.com
7|Myra|Zuniga|545 New Way|NULL|Jacksonville|NJ|15986|KNA|669-2527282|mhifgta.gxgm@rsagdfgmv.mu-heq.net
8|Teddy|Ingram|80 White New St.|NULL|Little Rock|MN|05975|JEY|039-730-4383|xstir433@nynvtmvim.fumaty.org
9|Annie|Larson|16 Nobel St.|NULL|Anaheim|OK|12879|VNM|9395752097|tpamp.japdsuxau@geosun.org
10|Herman|Anderson|361 Milton Way|NULL|Baltimore|MO|86163|CYM|8333602586|myvq.kupwaajzo@geuhjus.eqv-at.com
11|Jenifer|Livingston|76 Cowley Way|NULL|Fremont|OK|04101|COD|968-4293726|ubinkxz317@hqefni.com
12|Stefanie|Perez|11 White Second Road|NULL|Virginia Beach|DE|20856|PHL|7330933314|cecfmm.ocnup@wbjemf.org
13|Chastity|Garcia|39 White New Blvd.|NULL|Detroit|PA|91041|BRB|989-6185367|zuaje.gdtgy@eknshtb.vpikhd.org
14|Evelyn|Stokes|19 White Fabien Drive|NULL|Detroit|NJ|43313|MYS|5338290210|zhbodlmd@j-i-al.net
15|Jeannie|Daniel|220 East Second Street|NULL|Omaha|GA|85152|MKD|015-489-5571|rtyh.ykztn@ztyxpg.net
16|Rickey|Santos|936 North Cowley Boulevard|NULL|Jacksonville|RI|64228|AND|726-9056801|jika@iiwgel.org
17|Bobbie|Hurst|28 Rocky Oak Road|NULL|Bakersfield|MD|99414|CYM|3984837418|tzknbeq732@lefbilohj.bcpkqi.net
18|Lesley|Lawson|641 New Avenue|NULL|San Antonio|OK|05507|VEN|3578679589|oodqwf.rawklpwgx@ddtulq.com
19|Shawna|Browning|448 Clarendon Street|NULL|Lincoln|TN|53532|TON|5785709974|yoftuy.vyvhze@nkymm.imygsi.net
20|Theresa|Ross|790 Cowley Drive|NULL|Nashville|NY|38161|IDN|597-1157128|szkuy.hcmpxah@bzbahas.yqdsvm.org
21|Tasha|Hughes|458 Rocky Hague Avenue|NULL|Omaha|NM|67749|TJK|8949646426|xbgwxf32@wphblnf.htlqgj.net
22|Karla|Hale|87 Cowley Boulevard|NULL|Dallas|KY|57284|SLV|9920844111|mtlphca.fmvspsasgd@dghgmed.ponjyz.com
